iter	Passed	Remaining
406	5575	5383
407	5589	5370
408	5605	5358
409	5619	5344
410	5632	5330
411	5645	5316
412	5658	5302
413	5671	5288
414	5684	5273
415	5699	5261
416	5713	5247
417	5727	5233
418	5740	5220
419	5754	5206
420	5768	5193
421	5782	5179
422	5796	5165
423	5811	5153
424	5825	5139
425	5837	5125
426	5851	5111
427	5865	5097
428	5878	5083
429	5892	5069
430	5905	5056
431	5921	5043
432	5934	5029
433	5947	5015
434	5962	5002
435	5975	4988
436	5989	4974
437	6002	4960
438	6018	4948
439	6031	4934
440	6044	4920
441	6057	4906
442	6070	4892
443	6083	4877
444	6097	4864
445	6111	4850
446	6126	4837
447	6140	4824
448	6155	4811
449	6167	4797
450	6180	4782
451	6194	4769
452	6207	4755
453	6221	4741
454	6235	4727
455	6248	4713
456	6262	4700
457	6274	4685
458	6289	4672
459	6302	4658
460	6316	4644
461	6330	4631
462	6344	4617
463	6359	4605
464	6374	4592
465	6387	4578
466	6401	4564
467	6414	4550
468	6428	4537
469	6441	4523
470	6456	4510
471	6469	4495
472	6483	4482
473	6497	4468
474	6511	4455
475	6524	4441
476	6537	4426
477	6580	4433
478	6604	4425
479	6618	4412
480	6630	4397
481	6643	4383
482	6658	4369
483	6671	4355
484	6685	4341
485	6698	4328
486	6712	4314
487	6725	4299
488	6738	4285
489	6752	4271
490	6766	4258
491	6780	4244
492	6794	4230
493	6808	4217
494	6821	4203
495	6834	4188
496	6847	4174
497	6860	4160
498	6874	4146
499	6888	4133
500	6902	4119
501	6915	4105
502	6928	4091
503	6941	4076
504	6955	4062
505	6968	4048
506	6982	4035
507	6997	4021
508	7011	4008
509	7024	3994
510	7037	3979
511	7050	3965
512	7063	3951
513	7076	3937
514	7090	3924
515	7105	3910
516	7117	3896
517	7130	3881
518	7143	3867
519	7157	3853
520	7170	3839
521	7183	3825
522	7198	3812
523	7211	3798
524	7224	3784
525	7237	3770
526	7250	3756
527	7264	3742
528	7277	3728
529	7292	3714
530	7307	3701
531	7320	3687
532	7334	3674
533	7347	3660
534	7360	3645
535	7373	3631
536	7387	3618
537	7401	3604
538	7415	3590
539	7429	3577
540	7442	3563
541	7455	3549
542	7469	3535
543	7484	3522
544	7498	3508
545	7512	3494
546	7526	3481
547	7539	3467
548	7553	3453
549	7566	3439
550	7580	3425
551	7594	3412
552	7608	3398
553	7621	3384
554	7635	3370
555	7649	3357
556	7662	3342
557	7676	3329
558	7691	3315
559	7705	3302
560	7718	3288
561	7733	3275
562	7747	3261
563	7760	3247
564	7774	3233
565	7789	3220
566	7802	3206
567	7816	3192
568	7830	3178
569	7845	3165
570	7857	3151
571	7871	3137
572	7884	3123
573	7898	3109
574	7912	3096
575	7925	3082
576	7939	3068
577	7954	3055
578	7967	3041
579	7981	3027
580	7995	3013
581	8009	3000
582	8023	2986
583	8037	2972
584	8051	2959
585	8066	2945
586	8080	2932
587	8094	2918
588	8108	2904
589	8122	2891
590	8136	2877
591	8149	2863
592	8164	2849
593	8177	2836
594	8191	2822
595	8205	2808
596	8218	2794
597	8231	2780
598	8245	2766
599	8259	2753
600	8273	2739
601	8287	2725
602	8300	2711
603	8314	2697
604	8327	2684
605	8341	2670
606	8353	2656
607	8366	2642
608	8381	2628
609	8395	2615
610	8409	2601
611	8422	2587
612	8435	2573
613	8448	2559
614	8461	2545
615	8475	2531
616	8490	2518
617	8503	2504
618	8517	2490
619	8531	2476
620	8544	2462
621	8557	2448
622	8571	2435
623	8585	2421
624	8600	2408
625	8613	2394
626	8626	2380
627	8640	2366
628	8654	2352
629	8668	2339
630	8682	2325
631	8697	2312
632	8710	2298
633	8724	2284
634	8737	2270
635	8750	2256
636	8764	2242
637	8777	2228
638	8791	2215
639	8807	2201
640	8821	2188
641	8835	2174
642	8848	2160
643	8861	2146
644	8874	2132
645	8888	2119
646	8902	2105
647	8916	2091
648	8929	2077
649	8945	2064
650	8958	2050
651	8971	2036
652	8985	2022
653	8999	2008
654	9014	1995
655	9027	1981
656	9041	1968
657	9055	1954
658	9068	1940
659	9083	1926
660	9096	1912
661	9109	1899
662	9124	1885
663	9138	1871
664	9151	1857
665	9165	1844
666	9181	1830
667	9194	1816
668	9208	1803
669	9223	1789
670	9238	1776
671	9251	1762
672	9264	1748
673	9278	1734
674	9291	1720
675	9304	1706
676	9319	1693
677	9333	1679
678	9347	1665
679	9361	1651
680	9374	1638
681	9387	1624
682	9400	1610
683	9414	1596
684	9429	1583
685	9448	1570
686	9463	1556
687	9478	1542
688	9494	1529
689	9507	1515
690	9521	1501
691	9538	1488
692	9553	1475
693	9568	1461
694	9584	1447
695	9600	1434
696	9616	1421
697	9634	1407
698	9652	1394
699	9667	1381
700	9683	1367
701	9699	1354
702	9714	1340
703	9731	1326
704	9746	1313
705	9763	1299
706	9779	1286
707	9792	1272
708	9806	1258
709	9821	1244
710	9836	1231
711	9853	1217
712	9868	1204
713	9884	1190
714	9898	1176
715	9914	1163
716	9929	1149
717	9944	1135
718	9959	1122
719	9973	1108
720	9987	1094
721	10000	1080
722	10013	1066
723	10029	1052
724	10043	1038
725	10058	1025
726	10073	1011
727	10088	997
728	10103	984
729	10117	970
730	10132	956
731	10146	942
732	10161	928
733	10177	915
734	10193	901
735	10208	887
736	10224	874
737	10239	860
738	10256	846
739	10281	833
740	10296	819
741	10312	806
742	10328	792
743	10343	778
744	10359	764
745	10374	750
746	10387	736
747	10400	723
748	10413	709
749	10427	695
750	10440	681
751	10456	667
752	10470	653
753	10483	639
754	10498	625
755	10513	611
756	10527	598
757	10541	584
758	10557	570
759	10573	556
760	10589	542
761	10604	528
762	10618	514
763	10633	501
764	10648	487
765	10665	473
766	10682	459
767	10697	445
768	10712	431
769	10730	418
770	10745	404
771	10761	390
772	10776	376
773	10792	362
774	10807	348
775	10824	334
776	10838	320
777	10854	306
778	10871	293
779	10887	279
780	10902	265
781	10918	251
782	10934	237
783	10949	223
784	10964	209
785	10979	195
786	10992	181
787	11007	167
788	11021	153
789	11035	139
790	11048	125
791	11062	111
792	11076	97
793	11089	83
794	11102	69
795	11115	55
796	11129	41
797	11144	27
798	11158	13
799	11172	0
