iter	RMSE
353	31685.32099
354	31652.07734
355	31628.97032
356	31616.70996
357	31606.53433
358	31576.49447
359	31565.47778
360	31541.66269
361	31520.03025
362	31512.40837
363	31482.35127
364	31460.30475
365	31440.20297
366	31413.64422
367	31384.90738
368	31365.47604
369	31344.37071
370	31299.32191
371	31292.00637
372	31286.20246
373	31251.86871
374	31235.30792
375	31220.41477
376	31187.58393
377	31147.38803
378	31130.24221
379	31124.3065
380	31117.45929
381	31102.09208
382	31096.10067
383	31077.85852
384	31073.58161
385	31063.14024
386	31043.44156
387	31037.18021
388	31032.98676
389	31027.65567
390	31019.68461
391	31003.59657
392	30998.57835
393	30990.62303
394	30961.91741
395	30952.60326
396	30941.52691
397	30915.62094
398	30908.77058
399	30865.72507
400	30859.95137
401	30854.89404
402	30830.03061
403	30820.72124
404	30811.37195
405	30798.01064
406	30773.95437
407	30757.44391
408	30733.62105
409	30726.41993
410	30697.89536
411	30671.68941
412	30658.57761
413	30645.77447
414	30620.45297
415	30588.35237
416	30539.37627
417	30529.11753
418	30514.35555
419	30489.59081
420	30485.23706
421	30440.61363
422	30418.07159
423	30370.75258
424	30336.25796
425	30328.7667
426	30298.44683
427	30274.52363
428	30256.55415
429	30246.18437
430	30201.0988
431	30188.21431
432	30177.27137
433	30152.3555
434	30136.4932
435	30120.57779
436	30097.59146
437	30073.59027
438	30054.47317
439	30039.03359
440	30032.03409
441	30020.40625
442	30016.49932
443	30008.4469
444	29941.79062
445	29938.22421
446	29915.99779
447	29911.35615
448	29889.41051
449	29821.87743
450	29814.4672
451	29796.71223
452	29776.33387
453	29755.30495
454	29742.22429
455	29722.28914
456	29686.17982
457	29680.23005
458	29650.5703
459	29626.31511
460	29621.75217
461	29577.46209
462	29548.62494
463	29536.19435
464	29510.87601
465	29495.49875
466	29452.35663
467	29447.8124
468	29443.48195
469	29418.18682
470	29405.82506
471	29383.94239
472	29375.12706
473	29367.67208
474	29347.58022
475	29340.90361
476	29324.30905
477	29319.9518
478	29302.33373
479	29263.67273
480	29260.2204
481	29251.20694
482	29247.16324
483	29236.13205
484	29194.33608
485	29166.16569
486	29142.15892
487	29127.10738
488	29113.01755
489	29101.81253
490	29062.81508
491	29056.98888
492	29042.56949
493	29026.17549
494	29006.2352
495	28982.06211
496	28978.58467
497	28970.96589
498	28956.63724
499	28944.61541
500	28932.53241
501	28918.50798
502	28900.13069
503	28881.4471
504	28849.02929
505	28843.46987
506	28841.50797
507	28822.6662
508	28799.03005
509	28776.76753
510	28767.6992
511	28756.17518
512	28742.14832
513	28735.29301
514	28713.92921
515	28709.49732
516	28694.43875
517	28681.19767
518	28656.06462
519	28643.99024
520	28624.99967
521	28619.03278
522	28600.16814
523	28566.8405
524	28542.76008
525	28525.06585
526	28494.75883
527	28489.86307
528	28484.60431
529	28469.37607
530	28446.57471
531	28442.6053
532	28415.78946
533	28402.63026
534	28391.01682
535	28367.49036
536	28356.35851
537	28338.06582
538	28325.26643
539	28304.26106
540	28301.514
541	28279.67051
542	28266.43869
543	28216.77929
544	28211.82777
545	28171.82982
546	28139.77132
547	28134.97111
548	28129.17487
549	28102.01705
550	28079.98668
551	28069.53321
552	28055.50954
553	28052.88405
554	28048.52765
555	28022.86313
556	28020.0161
557	28017.49714
558	27988.55926
559	27958.79951
560	27939.24004
561	27897.48011
562	27878.56414
563	27867.02493
564	27820.49287
565	27805.99515
566	27803.91506
567	27793.77171
568	27769.81946
569	27722.77921
570	27716.62986
571	27670.17989
572	27667.68809
573	27655.97591
574	27625.93714
575	27604.88012
576	27589.52261
577	27566.88777
578	27547.60256
579	27538.8138
580	27518.61337
581	27507.57662
582	27500.70252
583	27488.71097
584	27483.70398
585	27452.78433
586	27424.27723
587	27409.66375
588	27385.53126
589	27380.63666
590	27370.90692
591	27356.96909
592	27342.24545
593	27331.42019
594	27317.90601
595	27306.04899
596	27282.60085
597	27255.52265
598	27233.68674
599	27230.90147
600	27215.40373
601	27183.96786
602	27176.70658
603	27141.93373
604	27127.21268
605	27125.29968
606	27121.13701
607	27117.8072
608	27096.89557
609	27073.41781
610	27070.13198
611	27059.70966
612	27041.03675
613	27036.07179
614	27021.42299
615	26981.95001
616	26938.00202
617	26922.75833
618	26914.91165
619	26905.42242
620	26903.2074
621	26894.77934
622	26864.24103
623	26856.0058
624	26852.21574
625	26838.62583
626	26796.50119
627	26755.76108
628	26746.55601
629	26743.03429
630	26739.48333
631	26721.24642
632	26712.84963
633	26710.83337
634	26709.11961
635	26686.48708
636	26684.05434
637	26663.50636
638	26632.28377
639	26623.57896
640	26615.24662
641	26594.44109
642	26576.50773
643	26557.94589
644	26554.97312
645	26539.61866
646	26527.41291
647	26524.12971
648	26502.32118
649	26471.83333
650	26435.99361
651	26421.52797
652	26384.05815
653	26374.82079
654	26355.076
655	26335.76955
656	26333.1577
657	26311.56508
658	26301.55186
659	26288.91173
660	26258.50672
661	26253.0719
662	26227.99657
663	26217.19986
664	26210.41031
665	26206.67421
666	26196.42394
667	26192.68538
668	26157.11506
669	26145.75768
670	26143.81895
671	26130.76822
672	26117.76553
673	26092.11218
674	26062.91321
675	26060.58701
676	26045.84502
677	26034.20592
678	26024.62138
679	26016.87533
680	26004.84745
681	26002.71086
682	25992.98917
683	25976.28859
684	25959.19876
685	25955.66691
686	25918.92551
687	25911.2374
688	25890.88847
689	25867.48914
690	25862.89256
691	25831.89738
692	25817.26396
693	25808.15223
694	25803.74697
695	25794.81881
696	25773.68012
697	25769.21512
698	25750.19578
699	25743.71574
700	25739.29464
701	25704.45531
702	25669.19239
703	25655.58449
704	25653.165
705	25644.79447
706	25633.98738
707	25613.74115
708	25598.69866
709	25596.79582
710	25581.72501
711	25569.26798
712	25535.87311
713	25518.78178
714	25510.33623
715	25506.41298
716	25491.47871
717	25475.21599
718	25470.63455
719	25468.46964
720	25422.55089
721	25406.64133
722	25386.53997
723	25362.05141
724	25344.02143
725	25343.05267
726	25324.08859
727	25316.35281
728	25288.43079
729	25286.14179
730	25284.60441
731	25276.64535
732	25262.02065
733	25252.71388
734	25228.39257
735	25224.03973
736	25217.68282
737	25179.61297
738	25175.38445
739	25174.26206
740	25160.72639
741	25143.02212
742	25132.64444
743	25105.10309
744	25068.96351
745	25045.57025
746	25029.24902
747	25025.51674
748	25012.17352
749	24989.85399
750	24978.44793
751	24951.19696
752	24932.515
753	24920.92482
754	24908.46151
755	24907.30536
756	24903.59421
757	24886.4989
758	24879.04986
759	24870.3571
760	24865.22496
761	24847.1685
762	24826.02821
763	24819.58774
764	24816.33432
765	24798.55214
766	24792.02836
767	24763.90949
768	24750.82612
769	24724.92026
770	24723.44164
771	24718.4547
772	24714.88509
773	24714.0399
774	24699.13873
775	24683.30116
776	24681.63792
777	24671.46393
778	24670.4845
779	24666.27465
780	24651.62201
781	24621.0318
782	24614.57137
783	24591.30306
784	24566.80808
785	24561.45548
786	24547.17199
787	24528.73103
788	24506.96764
789	24489.28781
790	24478.5049
791	24464.72499
792	24455.55024
793	24443.30363
794	24428.21517
795	24427.49083
796	24403.28636
797	24389.14776
798	24371.39223
799	24357.61872
